,Covid,Covid,Flu,Flu,Bronchiolitis,Bronchiolitis,Pneumopathy,Pneumopathy,Total Resp. Synd.,Total Resp. Synd.,Number of consultations,Number of consultations
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Week,,,,,,,,,,,,
1,75.16666666666667,149.10857341771688,140.0,112.63747156253109,118.5,49.524741291600904,9.333333333333334,5.785038173311103,343.0,216.2295076995737,11452.666666666666,2459.6971900351205
2,117.33333333333333,225.27464719019463,200.66666666666666,140.28637377402936,96.66666666666667,30.137462843886954,7.0,3.0983866769659336,421.6666666666667,259.5516647349168,14553.5,1051.6514156316246
3,123.66666666666667,238.52602932733916,258.6666666666667,127.76645360448363,121.66666666666667,18.129166187849528,13.666666666666666,5.391351098441527,517.6666666666666,232.62559331824747,15164.0,1424.9864560759868
4,103.0,182.84419597023037,343.0,181.90986779171712,114.66666666666667,15.513435037626794,9.166666666666666,3.3115957885386114,569.8333333333334,179.34036541355286,15031.833333333334,1324.7812523834514
5,73.83333333333333,124.3839485893042,438.1666666666667,300.7400316995838,123.5,37.393849761692096,14.166666666666666,5.076087732365022,649.6666666666666,263.92549453712627,15331.333333333334,1354.0504668093681
6,50.5,73.4404520683254,482.8333333333333,361.4722211549134,119.0,41.18737670694748,12.0,6.81175454637056,664.3333333333334,328.75624201932146,15492.666666666666,2229.8864246115018
7,32.166666666666664,46.888875724063446,422.1666666666667,287.47341906107886,101.83333333333333,55.77962591006384,13.833333333333334,7.13909424693824,570.0,257.6641224540196,14261.333333333334,2018.177659837376
8,27.833333333333332,40.7598658813626,290.5,200.91864025022667,91.0,37.48599738569057,10.5,5.0099900199501395,419.8333333333333,159.0338538383154,13347.166666666666,1538.7034043852207
9,26.5,40.65341314084218,185.83333333333334,113.11837457578086,82.83333333333333,46.888875724063446,12.166666666666666,6.306081720582652,307.3333333333333,104.25481603583917,12921.166666666666,1276.2873370313862
10,30.666666666666668,39.55081120112035,195.5,146.91460104428015,83.0,36.105401257983544,10.166666666666666,2.6394443859772205,319.3333333333333,167.60509141033475,13976.5,1351.2284410861105
11,49.333333333333336,63.149557929305146,249.33333333333334,244.16688282129226,87.83333333333333,27.556608402825383,12.166666666666666,4.792355023020171,398.6666666666667,272.0747446321813,14292.0,1228.469128631241
12,71.5,85.4558365473067,221.33333333333334,298.90042935176035,109.83333333333333,71.22195354430168,13.0,3.8987177379235853,415.6666666666667,360.02870255948574,13743.666666666666,1607.211581176127
13,78.16666666666667,88.9526091054482,200.83333333333334,309.9628472360303,90.5,56.46503342777723,10.0,3.9999999999999996,379.5,375.47822839680066,13430.166666666666,2135.214407657148
14,66.5,80.93639478009878,180.33333333333334,341.6592844730941,70.83333333333333,44.98629420908846,10.333333333333334,5.428320796219275,328.0,410.0692624423342,12623.166666666666,2441.2158787511335
15,51.166666666666664,73.91188447514152,144.33333333333334,289.4585750442827,67.16666666666667,36.372608741560825,6.333333333333333,4.179314138308661,269.0,361.75129578206077,12329.5,2470.5130438838005
16,33.0,39.74921382870358,55.5,100.56391002740496,43.666666666666664,21.64871050817269,3.5,2.588435821108957,135.66666666666666,143.23779761873843,10765.5,2023.9194400963688
17,30.166666666666668,37.69571151559109,26.5,50.68629005954174,35.666666666666664,15.487629472151852,3.6666666666666665,3.2041639575194445,96.0,85.4681227125061,10236.833333333334,1405.3854157015671
18,25.0,30.41052449399714,14.166666666666666,23.301645149359445,25.666666666666668,11.673331429659088,4.833333333333333,4.3089055068157,69.66666666666667,47.14092348126696,9632.333333333334,1901.454355662177
19,14.5,17.569860557215588,14.833333333333334,24.838813712950678,28.166666666666668,16.48534702900326,6.0,5.761944116355173,63.5,47.74410958432464,10045.0,2108.779931619229
20,19.666666666666668,22.984052442218857,10.166666666666666,16.690316553818466,41.333333333333336,23.947164063134213,5.833333333333333,4.833908011812665,77.0,55.1652064257898,12742.5,2584.407765814056
21,16.166666666666668,17.960141053640605,6.166666666666667,10.852035139395129,39.5,19.745885647395003,5.333333333333333,3.6147844564602556,67.16666666666667,37.29566552116568,11026.666666666666,1708.7281429960315
22,19.666666666666668,21.546848184053896,4.0,4.560701700396552,36.666666666666664,20.00666555592577,5.333333333333333,3.3862466931200785,65.66666666666667,25.11307760244982,12110.333333333334,2341.7699858582755
23,30.333333333333332,40.52982440952177,4.0,5.621387729022079,39.666666666666664,34.863543518504635,6.166666666666667,4.070217029430577,80.16666666666667,42.352882625231864,11395.5,3457.9943175199114
24,36.166666666666664,48.13072476772676,2.1666666666666665,4.355073669487885,27.5,19.53202498462461,4.666666666666667,4.366539438350084,70.5,48.29389195333091,11716.0,4231.800656930805
25,29.166666666666668,45.81884619527937,7.333333333333333,10.250203250017371,37.666666666666664,25.881782524908648,5.833333333333333,2.48327740429189,80.0,53.065996645686404,11923.666666666666,3297.458880208617
26,33.714285714285715,51.19477279864383,4.285714285714286,6.4990841845674865,40.142857142857146,27.40698555373898,6.857142857142857,4.775931721614517,85.0,62.20396557562334,13282.57142857143,1543.326586429766
27,35.57142857142857,71.6632335833309,6.428571428571429,10.080627342534175,37.285714285714285,28.726957639786626,8.142857142857142,3.4364987719368982,87.42857142857143,91.80024898814662,13209.285714285714,1700.5248909562904
28,20.0,30.98924544633724,4.285714285714286,3.592319850008056,31.142857142857142,26.302272217615037,5.0,3.958114029012639,60.42857142857143,49.335102928365124,10844.57142857143,2558.9391589187144
